Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439686520""","=""9780439686525""",4,Scholastic Inc.,Paperback,870,2004,2003,2017/01/21,2016/06/01,,,read,,,,1,0
14891980,The 5 Elements of Effective Thinking,Edward B. Burger,"Burger, Edward B.",Michael Starbird,"=""0691156662""","=""9780691156668""",3,Princeton University Press,Hardcover,168,2012,2012,2016/04/17,2016/06/01,,,read,,,,1,0
25066556,Presence: Bringing Your Boldest Self to Your Biggest Challenges,Amy Cuddy,"Cuddy, Amy",,"=""0316256579""","=""9780316256575""",3,"Little, Brown Spark",Hardcover,352,2015,2015,2016/05/12,2016/06/01,,,read,,,,1,0
21412226,"The Like Switch: An Ex-FBI Agent's Guide to Influencing, Attracting, and Winning People Over (The Like Switch Series)",Jack Schafer,"Schafer, Jack",Marvin Karlins,"=""1476754489""","=""9781476754482""",4,Atria Books,Paperback,288,2015,2015,2016/05/01,2016/06/01,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,Scholastic Inc.,Mass Market Paperback,547,2004,1999,2016/06/01,2016/02/26,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",3,Scholastic,Paperback,734,2002,2000,2016/03/05,2016/06/01,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,Arthur A. Levine Books,Hardcover,352,1999,1998,2016/02/20,2016/02/26,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""0439554934""","=""9780439554930""",5,Scholastic Inc,Hardcover,309,2003,1997,2016/02/26,2016/02/26,,,read,,,,1,0
20893503,"Magic Words: The Science and Secrets Behind Seven Words That Motivate, Engage, and Influence",Tim David,"David, Tim",,"=""0735205396""","=""9780735205390""",0,Prentice Hall Press,Hardcover,160,2014,2014,,2016/02/26,to-read,to-read (#40),to-read,,,,0,0
6597651,The Windup Girl,Paolo Bacigalupi,"Bacigalupi, Paolo",,"=""1597801577""","=""9781597801577""",2,Night Shade Books,Hardcover,359,2009,2009,2016/02/26,2016/02/01,,,read,,,,1,0
16278318,Armada,Ernest Cline,"Cline, Ernest",,"=""0804137250""","=""9780804137256""",0,Crown Publishing ,Hardcover,355,2015,2015,,2016/02/01,to-read,to-read (#39),to-read,,,,0,0
135479,Cat’s Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",0,Penguin,Paperback,306,1999,1963,2013/09/27,2013/09/21,want-to-read,want-to-read (#1),read,,,,1,0
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""1594633665""","=""9781594633669""",4,Riverhead Books,Hardcover,336,2015,2015,2016/01/31,2015/08/14,,,read,,,,1,0
